Índice de desarrollo humano por indicadores según países. 2022
Índice de desarrollo humano;Esperanza de vida al nacer en años;Años esperados de escolaridad (a) (b);Años promedio de escolaridad (a);Renta nacional bruta per cápita en PPP en US$ de 2017 (*)
2021;2021;2021;2021;2021
DESARROLLO HUMANO MUY ALTO
DESARROLLO HUMANO MUY ALTO (0,800 y más);0,896;78,5213009146818;16,5064850726695;12,3230058687357;43751,5964577709
DESARROLLO HUMANO ALTO (0,700-0,799);0,754;74,709093528975;14,2192873829158;8,3270110563097;15167,2477101274
DESARROLLO HUMANO MEDIO (0,550-0,699);0,636;67,4383177010467;11,9448551094317;6,87225677736483;6353,49196453238
DESARROLLO HUMANO BAJO (menos de 0,550);0,518;61,3109910434085;9,45935668679852;4,86021374538305;3009,12091272974
TOTAL MUNDIAL;0,732;71,365464883125;12,7809065985043;8,617460722228;16752,0829215463
La tabla completa se puede consultar en: ;https://hdr.undp.org/data-center/documentation-and-downloads
(a) Los datos se refieren a 2021 o al año más reciente disponible
(b) En el cálculo del valor del IDH se utiliza el máximo de 18 años de escolarización
(*) El dato de la C.A. de Euskadi es provisional
Fuente: Eustat. Indice de desarrollo humano
